Source,Type,Identifier,Title,DateEarliest,RelationAttachments,CoverageSpatial,Description,RightsStatus,RightsSidelined,Relation,Contributor,Coverage,Creator,Date,Format,Language,Publisher,Rights,Subject,CoverageAltitude,CoverageArea,CoverageCRS,CoverageCoordinates,CoverageCropped,CoverageEarliest,CoverageEnvelopeXYZ,CoverageEnvelopeGEO,CoverageXYZ,CoverageGEO,CoverageJSON,CoverageLatest,CoveragePosition,CoverageSerialized,CoverageTemporal,CoverageUTC,CoverageUnion,DateEarliestISO8601,DateLatest,DateLatestISO8601,DateModified,DateTimeZone,DateUTC,FormatDiameter,FormatHeight,FormatImage,FormatImageAnnotations,FormatImageHeight,FormatImageModificationDate,FormatImageTransformXYZ,FormatImageTransformGEO,FormatImageEnvelopeXYZ,FormatImageEnvelopeGEO,FormatImageWidth,FormatLength,FormatMaximumDimension,FormatPreservedHeight,FormatThickness,FormatWidth,IdentifierUUID,RelationBelongsTo,RelationBelongsToUUID,RelationCuts,RelationCutsUUID,RelationIncludes,RelationIncludesUUID,RelationIsAbove,RelationIsAboveUUID,RelationIsAfter,RelationIsAfterUUID,RelationIsBefore,RelationIsBeforeUUID,RelationIsBelow,RelationIsBelowUUID,RelationIsCoevalWith,RelationIsCoevalWithUUID,RelationIsCutBy,RelationIsCutByUUID,RelationIsNextTo,RelationIsNextToUUID,RelationURLs,RightsDeleted,RightsLocked,RightsRating,RightsTrashed,Subtype
ΒΘ West 2013,Plan,ΒΘ,"ΒΘ Photo (396,338,419,364)",2016-10-14T11:04:32Z,"n=ΒΘ Photo (396,338,419,364).png
d=2020-11-23T09:21:55Z",,,All Done,0,,,,,14 oct. 2016,,,,,,,,,,,,,,,,,,,,,,,2016-10-14T14:04:32+0300,2016-10-14T11:04:32Z,2016-10-14T14:04:32+0300,2016-10-14T11:04:32Z,Europe/Athens,2016-10-14T11:04:32Z,,,"ΒΘ Photo (396,338,419,364).png",,2048,,"0.01269315673289183113
0.00000000000000000000
-0.00000000000000000000
-0.01269531249999999827
395.99999999999994315658
363.99999999999994315658","0.00000014447352373999
0.00000000029697866952
0.00000000037648925260
-0.00000011438046225527
23.72262156229590601697
37.97650549319423163297","ENVELOPE(395.99999999999994315658, 418.99999999999994315658, 363.99999999999994315658, 337.99999999999994315658)","ENVELOPE(23.72262156229590601697, 23.72288411937091368031, 37.97650603131958035874, 37.97627124200753456762)",1812,,,,,,"ΒΘ Photo (396,338,419,364)",,,,,,,,,,,,,,,,,,,,,,0,0,,0,
ΒΘ West 2013,Plan,ΒΘ,"ΒΘ Plan (399,341,420,362)",2016-10-14T11:04:32Z,"n=ΒΘ Plan (399,341,420,362).png
d=2020-11-23T09:21:55Z",,,All Done,0,,,,,14 oct. 2016,,,,,,,,,,,,,,,,,,,,,,,2016-10-14T14:04:32+0300,2016-10-14T11:04:32Z,2016-10-14T14:04:32+0300,2016-10-14T11:04:32Z,Europe/Athens,2016-10-14T11:04:32Z,,,"ΒΘ Plan (399,341,420,362).png",,1436,,"0.01465457083042567832
0.00000000000000000000
-0.00000000000000000000
-0.01462395543175487415
398.99999999999994315658
361.99999999999994315658","0.00000016679834113153
0.00000000034286939326
0.00000000043368464152
-0.00000013175688131226
23.72265576761070704492
37.97648754406243654103","ENVELOPE(398.99999999999994315658, 419.99999999999994315658, 361.99999999999994315658, 340.99999999999994315658)","ENVELOPE(23.72265576761070704492, 23.72289541240469290528, 37.97648803539427575515, 37.97629834118087188699)",1433,,,,,,"ΒΘ Plan (399,341,420,362)",,,,,,,,,,,,,,,,,,,,,,0,0,,0,
